param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,accuracy,subject_id,avg_accuracy
n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy,subject_id,0.0
40,25,40,75,15,0.5,0.0625,0.0,0.62988486283,1,0.6687259535666668
40,25,40,75,15,0.5,0.0625,0.0,0.58732573815,2,0.6687259535666668
40,25,40,75,15,0.5,0.0625,0.0,0.78896725972,3,0.6687259535666668
42,28,53,81,11,0.2,0.0525,0.0001125,0.6453201904346045,1,0.6422792992244318
42,28,53,81,11,0.2,0.0525,0.0001125,0.6460512043148183,2,0.6422792992244318
42,28,53,81,11,0.2,0.0525,0.0001125,0.6354665029238726,3,0.6422792992244318
27,35,49,67,22,0.4,0.0825,0.0001125,0.4068233139868291,1,0.5698016230862759
27,35,49,67,22,0.4,0.0825,0.0001125,0.6012298864276424,2,0.5698016230862759
27,35,49,67,22,0.4,0.0825,0.0001125,0.7013516688443562,3,0.5698016230862759
43,19,31,76,23,0.7000000000000002,0.0625,0.00045,0.2146136700540328,1,0.3703232247876557
43,19,31,76,23,0.7000000000000002,0.0625,0.00045,0.3783968372550643,2,0.3703232247876557
43,19,31,76,23,0.7000000000000002,0.0625,0.00045,0.5179591670538699,3,0.3703232247876557
40,26,30,71,25,0.8,0.0525,0.0003375,0.1142578495668832,1,0.26160700371634343
40,26,30,71,25,0.8,0.0525,0.0003375,0.3151648602101899,2,0.26160700371634343
40,26,30,71,25,0.8,0.0525,0.0003375,0.3553983013719573,3,0.26160700371634343
25,18,33,54,16,0.7000000000000002,0.0825,0.0007875,0.2278153187653925,1,0.3557927645579087
25,18,33,54,16,0.7000000000000002,0.0825,0.0007875,0.3371128380306695,2,0.3557927645579087
25,18,33,54,16,0.7000000000000002,0.0825,0.0007875,0.5024501368776642,3,0.3557927645579087
47,23,48,77,26,0.2,0.0725,0.0009,0.3369601923218899,1,0.4919814893943301
47,23,48,77,26,0.2,0.0725,0.0009,0.5369985702067165,2,0.4919814893943301
47,23,48,77,26,0.2,0.0725,0.0009,0.601985705654384,3,0.4919814893943301
44,31,47,64,21,0.8,0.0225,0.00045,0.1418717059413002,1,0.3239527929095028
44,31,47,64,21,0.8,0.0225,0.00045,0.3602055500792029,2,0.3239527929095028
44,31,47,64,21,0.8,0.0225,0.00045,0.4697811227080053,3,0.3239527929095028
40,26,31,52,24,0.4,0.0625,0.0007875,0.1348665510731456,1,0.39968000991914626
40,26,31,52,24,0.4,0.0625,0.0007875,0.5487706856139909,2,0.39968000991914626
40,26,31,52,24,0.4,0.0625,0.0007875,0.5154027930703022,3,0.39968000991914626
54,17,50,73,24,0.5,0.0425,0.0005625,0.4887109089554232,1,0.5291425711152946
54,17,50,73,24,0.5,0.0425,0.0005625,0.5178912541941654,2,0.5291425711152946
54,17,50,73,24,0.5,0.0425,0.0005625,0.5808255501962953,3,0.5291425711152946
26,15,40,66,21,0.5,0.0125,0.0005625,0.5758599848704544,1,0.6206056703179678
26,15,40,66,21,0.5,0.0125,0.0005625,0.5924155042834297,2,0.6206056703179678
26,15,40,66,21,0.5,0.0125,0.0005625,0.6935415218000194,3,0.6206056703179678
46,18,32,81,17,0.7000000000000002,0.0625,0.000225,0.1967981773985913,1,0.3705020106747441
46,18,32,81,17,0.7000000000000002,0.0625,0.000225,0.4058581334857202,2,0.3705020106747441
46,18,32,81,17,0.7000000000000002,0.0625,0.000225,0.5088497211399208,3,0.3705020106747441
25,31,42,82,14,0.2,0.0525,0.0003375,0.3788634348198183,1,0.6487675957919992
25,31,42,82,14,0.2,0.0525,0.0003375,0.7507767234085045,2,0.6487675957919992
25,31,42,82,14,0.2,0.0525,0.0003375,0.8166626291476746,3,0.6487675957919992
30,11,47,59,27,0.5,0.0425,0.0003375,0.3576121414747769,1,0.4869788808020718
30,11,47,59,27,0.5,0.0425,0.0003375,0.6046262737969563,2,0.4869788808020718
30,11,47,59,27,0.5,0.0425,0.0003375,0.4986982271344822,3,0.4869788808020718
