Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy,subject_id
137,42,27,52,82,15,0.7000000000000002,0.0825,0.0003375,0.4704610656669532,3
138,51,22,53,61,20,0.3,0.0625,0.000675,0.3151967922385852,1
139,51,22,53,61,20,0.3,0.0625,0.000675,0.4981180303307184,2
140,51,22,53,61,20,0.3,0.0625,0.000675,0.2673021504082974,3
141,54,11,39,62,19,0.3,0.0725,0.000225,0.08806942827996445,1
142,54,11,39,62,19,0.3,0.0725,0.000225,0.6135659967582816,2
143,54,11,39,62,19,0.3,0.0725,0.000225,0.3487881815541229,3
144,34,16,45,63,16,0.2,0.0625,0.0,0.231251787579248,1
145,34,16,45,63,16,0.2,0.0625,0.0,0.533846866324696,2
146,34,16,45,63,16,0.2,0.0625,0.0,0.5901647228681894,3
147,32,17,25,57,28,0.7000000000000002,0.0725,0.0009,0.1120507441986313,1
148,32,17,25,57,28,0.7000000000000002,0.0725,0.0009,0.3862088303407569,2
149,32,17,25,57,28,0.7000000000000002,0.0725,0.0009,0.3012793575172064,3
150,27,23,50,73,19,0.2,0.0325,0.0,0.6187514699864858,1
151,27,23,50,73,19,0.2,0.0325,0.0,0.6558873503553517,2
152,27,23,50,73,19,0.2,0.0325,0.0,0.7661477731987156,3
153,54,27,43,55,10,0.2,0.0125,0.0007875,0.4227817350618368,1
154,54,27,43,55,10,0.2,0.0125,0.0007875,0.7883611830830886,2
155,54,27,43,55,10,0.2,0.0125,0.0007875,0.7551433825618089,3
156,36,30,39,66,14,0.5,0.0225,0.0001125,0.2507983198399656,1
157,36,30,39,66,14,0.5,0.0225,0.0001125,0.564546350002533,2
158,36,30,39,66,14,0.5,0.0225,0.0001125,0.4268333069148229,3
159,44,12,35,75,18,0.4,0.0225,0.0,0.5102084153674064,1
160,44,12,35,75,18,0.4,0.0225,0.0,0.6243893731801349,2
161,44,12,35,75,18,0.4,0.0225,0.0,0.61620947692939,3
162,53,23,32,66,20,0.8,0.0325,0.0,0.1676677567923743,1
163,53,23,32,66,20,0.8,0.0325,0.0,0.3752896004904116,2
164,53,23,32,66,20,0.8,0.0325,0.0,0.2932252483510399,3
165,38,20,41,52,18,0.8,0.0525,0.0,0.144774443198244,1
166,38,20,41,52,18,0.8,0.0525,0.0,0.346604368239525,2
167,38,20,41,52,18,0.8,0.0525,0.0,0.3538603085297911,3
168,25,14,37,63,12,0.8,0.0625,0.0007875,0.0567323853843219,1
169,25,14,37,63,12,0.8,0.0625,0.0007875,0.3254182772575072,2
170,25,14,37,63,12,0.8,0.0625,0.0007875,0.4545915016736777,3
171,49,22,28,75,13,0.5,0.0325,0.0007875,0.1848993304569141,1
172,49,22,28,75,13,0.5,0.0325,0.0007875,0.3915753441641444,2
173,49,22,28,75,13,0.5,0.0325,0.0007875,0.4146011667450077,3
174,28,13,28,67,14,0.2,0.0725,0.0005625,0.4041472097006015,1
175,28,13,28,67,14,0.2,0.0725,0.0005625,0.569327972962278,2
176,28,13,28,67,14,0.2,0.0725,0.0005625,0.6183113489971882,3
177,51,14,43,55,21,0.6000000000000001,0.0925,0.0005625,0.1067326631782251,1
178,51,14,43,55,21,0.6000000000000001,0.0925,0.0005625,0.3654907158740099,2
179,51,14,43,55,21,0.6000000000000001,0.0925,0.0005625,0.09216994981739346,3
180,54,23,34,69,11,0.6000000000000001,0.0125,0.00045,0.35030039775696,1
181,54,23,34,69,11,0.6000000000000001,0.0125,0.00045,0.6372949522157569,2
182,54,23,34,69,11,0.6000000000000001,0.0125,0.00045,0.7255760028785317,3
183,27,19,48,65,10,0.4,0.0225,0.0007875,0.5977691903454356,1
184,27,19,48,65,10,0.4,0.0225,0.0007875,0.6514876493613866,2
185,27,19,48,65,10,0.4,0.0225,0.0007875,0.698401826133352,3
186,31,12,25,71,21,0.6000000000000001,0.0725,0.0009,0.2275645561130157,1
187,31,12,25,71,21,0.6000000000000001,0.0725,0.0009,0.4113076632837193,2
188,31,12,25,71,21,0.6000000000000001,0.0725,0.0009,0.5933241749806544,3
189,37,19,36,52,14,0.6000000000000001,0.0125,0.0005625,0.3049152030349797,1
190,37,19,36,52,14,0.6000000000000001,0.0125,0.0005625,0.4604893415122592,2
191,37,19,36,52,14,0.6000000000000001,0.0125,0.0005625,0.585054473559979,3
192,54,19,38,58,22,0.6000000000000001,0.0125,0.000225,0.4293879315203875,1
193,54,19,38,58,22,0.6000000000000001,0.0125,0.000225,0.5118758147826055,2
194,54,19,38,58,22,0.6000000000000001,0.0125,0.000225,0.5568501754203827,3
195,46,22,53,61,26,0.6000000000000001,0.0825,0.0,0.1756587379658138,1
196,46,22,53,61,26,0.6000000000000001,0.0825,0.0,0.3141395196027906,2
197,46,22,53,61,26,0.6000000000000001,0.0825,0.0,0.1926198426635531,3
198,48,23,43,74,11,0.4,0.0825,0.00045,0.3068950759828518,1
199,48,23,43,74,11,0.4,0.0825,0.00045,0.5113761710531977,2
200,48,23,43,74,11,0.4,0.0825,0.00045,0.6039072284179762,3
201,41,12,50,62,26,0.6000000000000001,0.0425,0.0,0.2912522145209951,1
202,41,12,50,62,26,0.6000000000000001,0.0425,0.0,0.441968937774302,2
203,41,12,50,62,26,0.6000000000000001,0.0425,0.0,0.5495494030923536,3
204,30,29,52,58,28,0.6000000000000001,0.0125,0.0005625,0.4816692428630615,1
205,30,29,52,58,28,0.6000000000000001,0.0125,0.0005625,0.6075468667343142,2
206,30,29,52,58,28,0.6000000000000001,0.0125,0.0005625,0.690910959209327,3
207,52,29,36,60,14,0.2,0.0125,0.0,0.3960003022066739,1
208,52,29,36,60,14,0.2,0.0125,0.0,0.7297447662160199,2
209,52,29,36,60,14,0.2,0.0125,0.0,0.7460206883015291,3
210,47,31,45,75,14,0.6000000000000001,0.0825,0.0005625,0.1443127695197395,1
211,47,31,45,75,14,0.6000000000000001,0.0825,0.0005625,0.5245740924646125,2
212,47,31,45,75,14,0.6000000000000001,0.0825,0.0005625,0.3846335653814204,3
213,47,17,51,62,10,0.8,0.0525,0.0009,0.163025370141642,1
214,47,17,51,62,10,0.8,0.0525,0.0009,0.4142092240444798,2
215,47,17,51,62,10,0.8,0.0525,0.0009,0.4933465052449761,3
216,34,33,44,79,22,0.6000000000000001,0.0525,0.0001125,0.418230629567807,1
217,34,33,44,79,22,0.6000000000000001,0.0525,0.0001125,0.6304392869558069,2
218,34,33,44,79,22,0.6000000000000001,0.0525,0.0001125,0.751730351417871,3
219,33,10,44,65,14,0.6000000000000001,0.0125,0.0007875,0.457266367516084,1
220,33,10,44,65,14,0.6000000000000001,0.0125,0.0007875,0.524232028290972,2
221,33,10,44,65,14,0.6000000000000001,0.0125,0.0007875,0.660604901148359,3
222,27,14,30,74,17,0.7000000000000002,0.0325,0.0003375,0.1982134722908869,1
223,27,14,30,74,17,0.7000000000000002,0.0325,0.0003375,0.527224667435207,2
224,27,14,30,74,17,0.7000000000000002,0.0325,0.0003375,0.3468251952031555,3
225,38,33,38,68,29,0.3,0.0825,0.00045,0.4083482738197683,1
226,38,33,38,68,29,0.3,0.0825,0.00045,0.6963434945665806,2
227,38,33,38,68,29,0.3,0.0825,0.00045,0.5968949545355823,3
228,46,18,41,73,19,0.6000000000000001,0.0825,0.0001125,0.05031834323969264,1
229,46,18,41,73,19,0.6000000000000001,0.0825,0.0001125,0.3240848156903348,2
230,46,18,41,73,19,0.6000000000000001,0.0825,0.0001125,0.3742119094390074,3
231,34,19,42,73,12,0.4,0.0425,0.0005625,0.2606353298518472,1
232,34,19,42,73,12,0.4,0.0425,0.0005625,0.3705757957658521,2
233,34,19,42,73,12,0.4,0.0425,0.0005625,0.6430632210091226,3
234,40,18,37,54,28,0.7000000000000002,0.0525,0.0001125,0.1791535955819736,1
235,40,18,37,54,28,0.7000000000000002,0.0525,0.0001125,0.4495513556474896,2
236,40,18,37,54,28,0.7000000000000002,0.0525,0.0001125,0.3779378382907509,3
237,51,17,42,68,29,0.2,0.0625,0.0007875,0.3286939567419938,1
238,51,17,42,68,29,0.2,0.0625,0.0007875,0.4723704065366954,2
239,51,17,42,68,29,0.2,0.0625,0.0007875,0.5337839844026542,3
240,42,34,43,60,28,0.4,0.0725,0.0007875,0.1642916261541351,1
241,42,34,43,60,28,0.4,0.0725,0.0007875,0.5002263295615434,2
242,42,34,43,60,28,0.4,0.0725,0.0007875,0.5482799878750929,3
243,29,33,41,66,15,0.4,0.0425,0.0003375,0.2114753217228613,1
244,29,33,41,66,15,0.4,0.0425,0.0003375,0.6204771042366306,2
245,29,33,41,66,15,0.4,0.0425,0.0003375,0.7280118399402915,3
246,46,16,36,58,18,0.6000000000000001,0.0825,0.00045,0.215159049928161,1
247,46,16,36,58,18,0.6000000000000001,0.0825,0.00045,0.3661108540628315,2
248,46,16,36,58,18,0.6000000000000001,0.0825,0.00045,0.3305847238529698,3
249,43,32,42,76,24,0.5,0.0425,0.0,0.2339674072065042,1
250,43,32,42,76,24,0.5,0.0425,0.0,0.6945320725350121,2
251,43,32,42,76,24,0.5,0.0425,0.0,0.7580835111794517,3
252,54,31,34,52,19,0.4,0.0725,0.0001125,0.09390636971979538,1
253,54,31,34,52,19,0.4,0.0725,0.0001125,0.3089690246098465,2
254,54,31,34,52,19,0.4,0.0725,0.0001125,0.6908528021427729,3
255,39,20,30,65,11,0.5,0.0125,0.0005625,0.407561230941627,1
256,39,20,30,65,11,0.5,0.0125,0.0005625,0.6449392571902288,2
257,39,20,30,65,11,0.5,0.0125,0.0005625,0.6853810963485982,3
258,40,27,53,81,28,0.7000000000000002,0.0825,0.000225,0.2025981768511502,1
259,40,27,53,81,28,0.7000000000000002,0.0825,0.000225,0.4924475402454768,2
260,40,27,53,81,28,0.7000000000000002,0.0825,0.000225,0.6344658242944878,3
261,47,18,29,50,26,0.7000000000000002,0.0425,0.0003375,0.1923934401179728,1
262,47,18,29,50,26,0.7000000000000002,0.0425,0.0003375,0.3934339050881419,2
263,47,18,29,50,26,0.7000000000000002,0.0425,0.0003375,0.346836158897487,3
264,51,18,37,69,15,0.7000000000000002,0.0325,0.0005625,0.2054650142141816,1
265,51,18,37,69,15,0.7000000000000002,0.0325,0.0005625,0.4232968622469722,2
266,51,18,37,69,15,0.7000000000000002,0.0325,0.0005625,0.4404149582300543,3
267,39,25,33,64,12,0.8,0.0525,0.0001125,0.0609827216485217,1
268,39,25,33,64,12,0.8,0.0525,0.0001125,0.3187416514963669,2
269,39,25,33,64,12,0.8,0.0525,0.0001125,0.4108198779696226,3
270,54,16,38,56,10,0.4,0.0325,0.000225,0.4477287101806917,1
271,54,16,38,56,10,0.4,0.0325,0.000225,0.6367013566823083,2
272,54,16,38,56,10,0.4,0.0325,0.000225,0.698371675244177,3
273,50,31,30,62,21,0.6000000000000001,0.0125,0.0,0.1976031322337416,1
274,50,31,30,62,21,0.6000000000000001,0.0125,0.0,0.4683928593861997,2
275,50,31,30,62,21,0.6000000000000001,0.0125,0.0,0.5389560603687003,3
276,40,15,46,70,18,0.3,0.0125,0.0007875,0.6649098946054346,1
277,40,15,46,70,18,0.3,0.0125,0.0007875,0.7482038907493931,2
278,40,15,46,70,18,0.3,0.0125,0.0007875,0.8642959104870171,3
279,27,34,32,79,18,0.7000000000000002,0.0825,0.0005625,0.1527030173725484,1
280,27,34,32,79,18,0.7000000000000002,0.0825,0.0005625,0.4516331589742973,2
281,27,34,32,79,18,0.7000000000000002,0.0825,0.0005625,0.4579561841594069,3
282,26,29,38,79,14,0.7000000000000002,0.0925,0.0001125,0.2620572582070736,1
283,26,29,38,79,14,0.7000000000000002,0.0925,0.0001125,0.4342536249328831,2
284,26,29,38,79,14,0.7000000000000002,0.0925,0.0001125,0.3422583145914152,3
285,46,15,25,78,10,0.3,0.0725,0.00045,0.5572637317372989,1
286,46,15,25,78,10,0.3,0.0725,0.00045,0.3550743212272583,2
287,46,15,25,78,10,0.3,0.0725,0.00045,0.530947604498663,3
288,34,23,52,64,16,0.6000000000000001,0.0325,0.000225,0.3359080497347838,1
289,34,23,52,64,16,0.6000000000000001,0.0325,0.000225,0.4956804663570601,2
290,34,23,52,64,16,0.6000000000000001,0.0325,0.000225,0.3788344590880476,3
291,26,20,27,69,16,0.5,0.0125,0.0007875,0.3075867416078559,1
292,26,20,27,69,16,0.5,0.0125,0.0007875,0.6356037342289057,2
293,26,20,27,69,16,0.5,0.0125,0.0007875,0.7041644087481658,3
294,32,32,33,63,15,0.4,0.0725,0.0001125,0.1262319844916989,1
295,32,32,33,63,15,0.4,0.0725,0.0001125,0.3782522472005714,2
296,32,32,33,63,15,0.4,0.0725,0.0001125,0.2934713926247978,3
297,25,23,45,66,11,0.5,0.0225,0.000225,0.4122506485712926,1
298,25,23,45,66,11,0.5,0.0225,0.000225,0.4736390772702684,2
299,25,23,45,66,11,0.5,0.0225,0.000225,0.490111513835398,3
300,37,20,39,55,13,0.6000000000000001,0.0325,0.0009,0.2268673408876012,1
301,37,20,39,55,13,0.6000000000000001,0.0325,0.0009,0.5044512846980151,2
302,37,20,39,55,13,0.6000000000000001,0.0325,0.0009,0.5391958603217621,3
